Program: Program Name,Partner Status,Program Description,Program Duration,Service Type,Where does your program take place?,Primary Service Area,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Account Name
Group Therapeutic Services,Active,"Abundant Life Therapeutic Services Texas, LLC mission is to provide therapeutic services that will improve the quality of life for individuals that have significant psychiatric functional limitations, and enabling them to become a more productive citizen. Abundant Life Therapeutic Services Texas, LLC provides the highest quality, outcome based, face to face intervention for adults, to enhance their quality of life by meeting and challenging the needs of the whole person: physical, mental, and social.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","260 North Sam Houston Parkway East
Suite 350",Houston,,77060,Abundant Life Therapy
Individual Therapeutic Services,Active,"Abundant Life Therapeutic Services Texas, LLC mission is to provide therapeutic services that will improve the quality of life for individuals that have significant psychiatric functional limitations, and enabling them to become a more productive citizen. Abundant Life Therapeutic Services Texas, LLC provides the highest quality, outcome based, face to face intervention for adults, to enhance their quality of life by meeting and challenging the needs of the whole person: physical, mental, and social.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","260 North Sam Houston Parkway East
Suite 350",Houston,,77060,Abundant Life Therapy
Push In Therapeutic Services,Active,Push into classrooms that have behavioral issues. The therapists reiterate the classroom expectations. The students who do not cooperate will be separated and will be working with them in small groups or individually.,45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","260 North Sam Houston Parkway East
Suite 350",Houston,,77060,Abundant Life Therapy
Safe Dates,Active,"Highly engaging and interactive, Safe Dates helps teens recognize the difference between caring, supportive relationships and controlling, manipulative, or abusive dating relationships. Designated as a Model Program by the Substance Abuse and Mental Health Services Administration. In 2006, Safe Dates was selected for the National Registry of Evidence-based Programs and Practices (NREPP), and received high ratings on all criteria.",70-90 minutes (Block Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",1001 Texas Ave Ste 600,Houston,,77002,Aid to Victims of Domestic Abuse (AVDA)
Cultural Enrichment Program,Active,"Working with the school to provide Arab cultural access. The Arab-American Cultural & Community Center offers a wide range of programs, activities, and functions, including:

Culture: Lectures on Arabic literature, arts, and science, and exhibits and symposiums intended to promote the heritage and recognize past and present accomplishments of Arabs everywhere.

Language: Lessons to teach Arabic reading and writing skills at different levels, for adults and children alike.

Resource Center: An information center with emphasis on the Arab world and its history and culture; features videos and exhibit materials.

Museum: A historic and a genealogical record of Arabs and their families who have immigrated to Texas ?who they were, when they came, where they settled, and what they achieved for themselves and for their communities.

Social: A common and inclusive meeting place for community groups and associations, as well as facilities for birthdays, graduations and weddings.

Charitable Work: Assist the needy and under-privileged, and to participate and collaborate with other such organizations in the greater Houston area.

Self-Development: Assist in promoting good citizenship and in developing productive members in society.

Community Outreach: Special activities, facilities and programs for senior citizens, families and children; job placement assistance and networking; medical, legal and professional services periodically available to Arab-Americans and to the greater public at large.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",10555 Stancliff Road,Houston,,77099,Arab American Cultural & Community Center
Help with Call for Donations after Harvey Hurricane,Active,"After Hurricane Harvey, we received a request from Ms. Wagma to send a mass email to the community asking for help for Back packs as many of the students did loose their stuff during the Hurricane. Also, asked for donations to cover transportation for the students. Which we did and we also posted it on ACC facebook.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",10555 Stancliff Road,Houston,,77099,Arab American Cultural & Community Center
Meetings for School Recources,Active,Meeting with Wisdom High School Staff and Community Members to discus School challenges & ways of possible resources,Other (Please specify in Description),Referral out - Deliver services off-site,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",10555 Stancliff Road,Houston,,77099,Arab American Cultural & Community Center
Onsite Visit,Active,"On 2017 Heritage Month, ACC invited Wisdom HS students for ""What we Carried Exhibit"" then we had a workshop.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,Off School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",10555 Stancliff Road,Houston,,77099,Arab American Cultural & Community Center
Yancy Life Tutorials,Active,Working with students in a pull out fashion to do small groups focusing on math and ELA.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",2600 South Loop West #475A,Houston,TX,77054,A Yancy Life
Immigration Services,Active,"Support for citizenship classes, forms, navigation, etc.",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,Community Development,6500 Rookin St.,Houston,,77074,Baker Ripley
