,Program: Program Name,Partner Status,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,address,latitude,longitude,success
0,Group Therapeutic Services,Active,260 North Sam Houston Parkway East Suite 350,Houston,TX,77060,260 North Sam Houston Parkway East Suite 350 Houston TX 77060,37.7937635,-122.3925413,False
1,Individual Therapeutic Services,Active,260 North Sam Houston Parkway East Suite 350,Houston,TX,77060,260 North Sam Houston Parkway East Suite 350 Houston TX 77060,37.7937635,-122.3925413,False
2,Push In Therapeutic Services,Active,260 North Sam Houston Parkway East Suite 350,Houston,TX,77060,260 North Sam Houston Parkway East Suite 350 Houston TX 77060,37.7937635,-122.3925413,False
3,Safe Dates,Active,1001 Texas Ave Ste 600,Houston,TX,77002,1001 Texas Ave Ste 600 Houston TX 77002,37.7937635,-122.3925413,False
4,Cultural Enrichment Program,Active,10555 Stancliff Road,Houston,TX,77099,10555 Stancliff Road Houston TX 77099,29.6580552040816,-95.5655815714286,True
5,Help with Call for Donations after Harvey Hurricane,Active,10555 Stancliff Road,Houston,TX,77099,10555 Stancliff Road Houston TX 77099,29.6580552040816,-95.5655815714286,True
6,Meetings for School Recources,Active,10555 Stancliff Road,Houston,TX,77099,10555 Stancliff Road Houston TX 77099,29.6580552040816,-95.5655815714286,True
7,Onsite Visit,Active,10555 Stancliff Road,Houston,TX,77099,10555 Stancliff Road Houston TX 77099,29.6580552040816,-95.5655815714286,True
8,Yancy Life Tutorials,Active,2600 South Loop West #475A,Houston,TX,77054,2600 South Loop West #475A Houston TX 77054,37.7937635,-122.3925413,False
9,Immigration Services,Active,6500 Rookin St.,Houston,TX,77074,6500 Rookin St. Houston TX 77074,29.7106415,-95.4970872,True
10,Tax and Financial Services,Active,6500 Rookin St.,Houston,TX,77074,6500 Rookin St. Houston TX 77074,29.7106415,-95.4970872,True
11,Discover You,Active,6500 Rookin St.,Houston,TX,77074,6500 Rookin St. Houston TX 77074,29.7106415,-95.4970872,True
12,Youth Connect,Active,6500 Rookin St.,Houston,TX,77074,6500 Rookin St. Houston TX 77074,29.7106415,-95.4970872,True
13,Baylor Teen Clinic Counseling Group,Active,3815 Cavalcade Street,Houston,TX,77026,3815 Cavalcade Street Houston TX 77026,29.8001402802019,-95.3331122500113,True
14,Baylor Teen Clinic Services,Active,3815 Cavalcade Street,Houston,TX,77026,3815 Cavalcade Street Houston TX 77026,29.8001402802019,-95.3331122500113,True
